food_key,pmid,gold_label,gold_reason,title
ginger,23308394,exclude,"species-mismatch: grains of paradise (Aframomum) men, BAT/EE",Grains of paradise (Aframomum melegueta) extract activates brown adipose tissue and increases whole-body energy expenditure in men.
ginger,23021155,include,"human RCT: ginger arm, postprandial diet-induced thermogenesis + EE (Z.officinale)","Acute effects of mustard, horseradish, black pepper and ginger on energy expenditure, appetite, ad libitum energy intake and energy balance in human subjects."
ginger,22538118,include,"human RCT: ginger powder, thermic effect of food in overweight men (Z.officinale)",Ginger consumption enhances the thermic effect of food and promotes feelings of satiety without affecting metabolic and hormonal parameters in overweight men: a pilot study.
ginger,21185236,exclude,"animal: rats, grains of paradise/6-paradol BAT",Extract of grains of paradise and its active principle 6-paradol trigger thermogenesis of brown adipose tissue in rats.
ginger,18295202,exclude,"animal: rats, [6]-gingerol hypothermia","Systemic administration of [6]-gingerol, a pungent constituent of ginger, induces hypothermia in rats via an inhibitory effect on metabolic rate."
ginger,17176640,exclude,"invitro/animal: HEK293 cells + rats, shogaol TRPV1",A nonpungent component of steamed ginger--[10]-shogaol--increases adrenaline secretion via the activation of TRPV1.
ginger,16580033,include,"review-subject: metabolic/thermogenic effects of spices, teas, caffeine (incl ginger)","Metabolic effects of spices, teas, and caffeine."
ginger,1330955,exclude,animal: perfused rat hindlimb,Pungent principles of ginger (Zingiber officinale) are thermogenic in the perfused rat hindlimb.
ginger,2070449,exclude,"animal: rats, goshuyu-to body temperature","Pharmacological properties of galenical preparation. XIV. Body temperature retaining effect of the Chinese traditional medicine, ""goshuyu-to"" and component crude drugs."
coffee,42514427,exclude,invitro: chlorogenic acid preclinical adipose review,Chlorogenic Acid as a Modulator of Adipose Tissue Function and Metabolic Homeostasis: Evidence from Preclinical Studies.
coffee,39519525,exclude,"name-only: bibliometric study of caffeine-in-heat literature, not thermal-ingestion evidence",The Effects of Caffeine on Exercise in Hot Environments: A Bibliometric Study.
coffee,38694556,exclude,"name-only: coffee/tea/cocoa obesity-prevention review, objective is obesity","Coffee, tea, and cocoa in obesity prevention: Mechanisms of action and future prospects."
coffee,38140290,exclude,"name-only: coffee/caffeine on exercise & metabolism review, not thermal-ingestion","Extrapolating the Coffee and Caffeine (1,3,7-Trimethylxanthine) Effects on Exercise and Metabolism-A Concise Review."
coffee,37764380,exclude,name-only: natural products for obesity review,Could Natural Products Help in the Control of Obesity? Current Insights and Future Perspectives.
coffee,37596386,exclude,invitro: CGA/caffeine nanoparticles PPAR pathway (retracted),Anti-obesity effects of chlorogenic acid and caffeine- lipid nanoparticles through PPAR-γ/C/EBP-ɑ pathways.
coffee,36990367,exclude,"animal: HFD mice, coffee BAT whitening",Coffee consumption prevents obesity-related comorbidities and attenuates brown adipose tissue whitening in high-fat diet-fed mice.
coffee,36603448,exclude,"name-only: spent coffee grounds as phase-change material, no ingestion",Valorization of Spent coffee Grounds: A sustainable resource for Bio-based phase change materials for thermal energy storage.
coffee,36517893,exclude,"animal: adipose browning model, caffeoylquinic acid",Limosilactobacillus reuteri and caffeoylquinic acid synergistically promote adipose browning and ameliorate obesity-associated disorders.
coffee,31505825,exclude,name-only: broad functional-foods weight-management review,Functional Foods and Bioactive Compounds: A Review of Its Possible Role on Weight Management and Obesity's Metabolic Consequences.
coffee,31235722,exclude,animal/invitro: caffeine browning in vitro and in vivo (mice),Caffeine exposure induces browning features in adipose tissue in vitro and in vivo.
coffee,29723112,include,"human: green coffee, resting energy expenditure + body temperature in healthy women","Effect of Green Coffee Consumption on Resting Energy Expenditure, Blood Pressure, and Body Temperature in Healthy Women: A Pilot Study."
coffee,26856274,include,review-subject: natural stimulant/non-stimulant thermogenic agents (incl caffeine),A Review of Natural Stimulant and Non-stimulant Thermogenic Agents.
coffee,24448391,exclude,"invitro: HepG2 cells, N-methylpyridinium thermogenesis","N-methylpyridinium, a degradation product of trigonelline upon coffee roasting, stimulates respiratory activity and promotes glucose utilization in HepG2 cells."
coffee,18767348,exclude,"not-ingestion: cold-storage workers in coffee plant, occupational cold, no ingestion",Health problems related to working in extreme cold conditions indoors.
coffee,9202101,exclude,"no-thermal: caffeine beverage, outcome is parasympathetic HRV, no thermal measure",Caffeine enhances modulation of parasympathetic nerve activity in humans: quantification using power spectral analysis.
coffee,9035968,exclude,"animal: newborn calves, Coffea arabica extract",[Use of a Coffea arabica tosta extract for the prevention and therapy of polyfactorial infectious diseases in newborn calves].
coffee,8873167,exclude,"animal: rats, aspartame behavioural thermoregulation",Aspartame's effects on behavioral thermoregulation in albino rats.
coffee,7485480,include,"human: caffeinated vs decaf coffee, coffee-induced thermogenesis/EE in women","Effects of caffeine on energy metabolism, heart rate, and methylxanthine metabolism in lean and obese women."
coffee,7486839,include,"human RCT: decaf ± caffeine, energy expenditure + skin/rectal temperature",Comparison of changes in energy expenditure and body temperatures after caffeine consumption.
coffee,7951473,include,human: coffee-induced thermogenesis and skin temperature,Coffee induced thermogenesis and skin temperature.
coffee,2912011,exclude,"name-only: liquid-meal serving temperature effect (coffee as vehicle, not its nature)","Gastric acid secretion, gastrin release, and gastric emptying in humans as affected by liquid meal temperature."
coffee,3957721,include,human: spiced food (incl caffeine) on metabolic rate / diet-induced thermogenesis,Effect of spiced food on metabolic rate.
coffee,427705,exclude,"name-only: feedlot cattle, 'coffee-colored urine' incidental",Myopathy and myoglobinuria in feedlot cattle.
chili pepper,42186269,include,review-meta-subject: culinary red pepper attenuating adaptive thermogenesis (human),Attenuation of Adaptive Thermogenesis by a Culinary Dose of Red Pepper During 24-Hour Negative Energy Balance.
chili pepper,40092148,exclude,name-only: broad cold-weather military nutrition review,Exploring the role of nutritional strategies to influence physiological and cognitive mechanisms in cold weather operations in military personnel.
chili pepper,39958175,exclude,"animal: HFD mice, Capsicum NET-2201",Effects of NET-2201 (Capsicum chinense L. cv.) on brown adipose tissue activation and white adipose tissue browning in high-fat-diet-induced obese mice.
chili pepper,39289273,exclude,"mechanism: thermosensitive TRP channel review, not ingestion",Temperature-Dependent Activation of Thermosensitive Transient Receptor Potential Channels.
chili pepper,38895664,exclude,"name-only: corrigendum, no data","Corrigendum: A natural sustained-intestinal release formulation of red chili pepper extracted capsaicinoids (Capsifen®) safely modulates energy balance and endurance performance: a randomized, double-blind, placebo-controlled study."
chili pepper,38571755,include,"human RCT: red-chili capsaicinoids (Capsifen), energy balance/thermogenesis [constituent]","A natural sustained-intestinal release formulation of red chili pepper extracted capsaicinoids (Capsifen®) safely modulates energy balance and endurance performance: a randomized, double-blind, placebo-controlled study."
chili pepper,38531438,exclude,"invitro/animal: 3T3-L1 adipocytes + mouse, capsaicin",Capsaicin induces ATP-dependent thermogenesis via the activation of TRPV1/β3-AR/α1-AR in 3T3-L1 adipocytes and mouse model.
chili pepper,38379484,exclude,"not-ingestion: topical capsaicin cream, thermoregulation walking in cold",Impact of Topical Capsaicin Cream on Thermoregulation and Perception While Walking in the Cold.
chili pepper,33789250,include,"review-subject: red pepper/ginger/turmeric on energy metabolism, human evidence","Effects of Red Pepper, Ginger, and Turmeric on Energy Metabolism: Review of Current Knowledge."
chili pepper,33063385,include,meta-subject: capsaicinoids/capsinoids on thermogenesis in healthy adults,The effect of Capsaicinoids or Capsinoids in red pepper on thermogenesis in healthy adults: A systematic review and meta-analysis.
chili pepper,32199999,exclude,"name-only: energy-balance/food-reward review, not chili thermal-ingestion",Challenging energy balance - during sensitivity to food reward and modulatory factors implying a risk for overweight - during body weight management including dietary restraint and medium-high protein diets.
chili pepper,31009639,exclude,"animal: mice, oral gavage capsaicin hypothermia",Oral gavage of capsaicin causes TRPV1-dependent acute hypothermia and TRPV1-independent long-lasting increase of locomotor activity in the mouse.
chili pepper,29568185,exclude,"animal: mice, thermogenic blend + whey",Thermogenic Blend Alone or in Combination with Whey Protein Supplement Stimulates Fat Metabolism and Improves Body Composition in Mice.
chili pepper,27899046,exclude,"name-only: 'chili as weight-loss food' review, objective is weight not thermal",Chili pepper as a body weight-loss food.
chili pepper,26552144,exclude,"invitro/animal: DRG neurons + HEK293 cells + BAT, TRPV1 mechanism",[TRPV1 channel-mediated thermogenesis is a common mode for the Chinese pungent-hot or pungent-warm herbs to demonstrate their natures].
chili pepper,26421678,exclude,"name-only: 'food ingredients as anti-obesity agents' review, objective is obesity",Food Ingredients as Anti-Obesity Agents.
chili pepper,23844093,include,"human RCT: capsaicin, energy expenditure/fat oxidation in negative energy balance [constituent]",Acute effects of capsaicin on energy expenditure and fat oxidation in negative energy balance.
chili pepper,21093467,include,human RCT: hedonic red-pepper doses on thermogenesis and appetite,The effects of hedonically acceptable red pepper doses on thermogenesis and appetite.
chili pepper,20932337,exclude,"not-ingestion: TRPV1 agonists screened for therapeutic hypothermia, not chili intake",Drug-induced mild therapeutic hypothermia obtained by administration of a transient receptor potential vanilloid type 1 agonist.
chili pepper,20925950,include,"human RCT: dihydrocapsiate (CH-19 Sweet), adaptive/diet-induced thermogenesis [constituent]",Effects of dihydrocapsiate on adaptive and diet-induced thermogenesis with a high protein very low calorie diet: a randomized control trial.
chili pepper,17341828,include,"human: CH-19 Sweet red pepper, body temperature + diet-induced thermogenesis","Effects of CH-19 Sweet, a non-pungent cultivar of red pepper, on sympathetic nervous activity, body temperature, heart rate, and blood pressure in humans."
chili pepper,12959953,exclude,animal: oral capsiate upregulates UCP (rodent tissue),"Upregulation of uncoupling proteins by oral administration of capsiate, a nonpungent capsaicin analog."
chili pepper,11767210,exclude,"animal: mice, CH-19 Sweet body temperature","CH-19 sweet, nonpungent cultivar of red pepper, increased body temperature in mice with vanilloid receptors stimulation by capsiate."
chili pepper,11676017,include,"human: CH-19 Sweet, body temperature + oxygen consumption in 11 volunteers","CH-19 sweet, a non-pungent cultivar of red pepper, increased body temperature and oxygen consumption in humans."
chili pepper,11227803,include,"human: capsaicin curry, SNS activity + diet-induced thermogenesis in women",Effects of capsaicin-containing yellow curry sauce on sympathetic nervous system activity and diet-induced thermogenesis in lean and obese young women.
chili pepper,10211048,include,"human: red pepper with HF/HC meals, energy metabolism in Japanese women",Effects of red pepper added to high-fat and high-carbohydrate meals on energy metabolism and substrate utilization in Japanese women.
chili pepper,9487017,exclude,"mechanism: vanilloid receptor review, pain/inflammation, not ingestion thermal",Recent advances in understanding of vanilloid receptors: a therapeutic target for treatment of pain and inflammation in skin.
chili pepper,2747924,exclude,"animal: rats, resiniferatoxin (capsaicin analog) hypothermia","Resiniferatoxin, a phorbol-related diterpene, acts as an ultrapotent analog of capsaicin, the irritant constituent in red pepper."
chili pepper,3957721,include,human: spiced food on metabolic rate / diet-induced thermogenesis,Effect of spiced food on metabolic rate.
chili pepper,5498502,exclude,"animal: rats/guinea-pigs, capsaicin thermoregulation impairment",Irreversible impairment of thermoregulation induced by capsaicin and similar pungent substances in rats and guinea-pigs.
chicken,41367205,exclude,"animal: domestic cats, energy expenditure","Macronutrient and energy metabolism changes in domestic cats when fed cornstarch, whey protein, and, poultry fat."
chicken,40387054,exclude,"name-only: theoretical protein/water model, chicken as example species",The molecular origin of body temperature in homeothermic species.
chicken,32582777,exclude,"animal: working dogs, pre-hydration in heat",A Randomized Cross-Over Field Study of Pre-Hydration Strategies in Dogs Tracking in Hot Environments.
chicken,32320452,exclude,"livestock-heat: broiler transport microclimate, production losses","Effect of transportation distances, seasons and crate microclimate on broiler chicken production losses."
chicken,30624709,exclude,name-only: Salmonella egg-white microbiology at chicken body temp,The Salmonella Enteritidis TolC outer membrane channel is essential for egg white survival.
chicken,27916641,exclude,animal: UCP1 brown-adipocyte history (mammals/rodents),"UCP1, the mitochondrial uncoupling protein of brown adipocyte: A personal contribution and a historical perspective."
chicken,27264093,exclude,"animal: rats fed purified meat proteins incl chicken, DIT",Diet-Induced Thermogenesis and Expression Levels of Thyroid Hormone Target Genes and Their Products in Rats Differ between Meat Proteins.
chicken,23909913,exclude,"animal: mice, vaccinia allergy model",Vaccination with recombinant modified vaccinia virus Ankara prevents the onset of intestinal allergy in mice.
chicken,23436537,exclude,name-only: Salmonella egg-white survival at chicken body temp,Salmonella Enteritidis is superior in egg white survival compared with other Salmonella serotypes.
chicken,23430386,exclude,"animal: chickens, avUCP energy expenditure","Effects of breeds and dietary protein levels on the growth performance, energy expenditure and expression of avUCP mRNA in chickens."
chicken,16615357,exclude,"livestock-heat: broiler chickens, diet-induced thermogenesis genotype",Diet-induced thermogenesis and glucose oxidation in broiler chickens: influence of genotype and diet composition.
chicken,11171038,exclude,"animal: chicken skeletal-muscle UCP, avian thermogenesis",An uncoupling protein homologue putatively involved in facultative muscle thermogenesis in birds.
chicken,6085056,exclude,invitro: Sindbis virus in chicken/other cells,[Various biological characteristics of Sindbis virus].
chicken,19531576,exclude,animal: chicken QTL for metabolic traits,QTL for several metabolic traits map to loci controlling growth and body composition in an F2 intercross between high- and low-growth chicken lines.
chicken,10653500,exclude,"animal: chickens, sevoflurane anesthetic concentration",Determination of the minimum anesthetic concentration and cardiovascular dose response for sevoflurane in chickens during controlled ventilation.
chicken,11989759,exclude,"livestock-heat: broiler PSE meat, body temp/glycolysis","The characterization and incidence of pale, soft, and exudative broiler meat in a commercial processing plant."
chicken,14251943,exclude,"animal: chicken, cardiovascular changes with thermal polypnea",CARDIOVASCULAR CHANGES ASSOCIATED WITH THERMAL POLYPNEA IN THE CHICKEN.
chicken,16156199,exclude,livestock-heat: broiler thermoregulation vs humidity,Thermoregulation responses of broiler chickens to humidity at different ambient temperatures. II. Four weeks of age.
chicken,17623916,exclude,invitro: DT40 chicken cell culture conditions,Basic cell culture conditions.
chicken,18901892,exclude,"animal: chicken, body temperature vs blood pressure",A relationship between the body temperature and the blood pressure in the chicken.
chicken,21066167,exclude,"animal: chicken embryos, peripheral circulation cells","The relation between age, number, and types of cells in the peripheral circulation of chicken embryos under normal and experimental conditions."
chicken,22937744,exclude,animal: Japanese quail plumage/body temperature mutation,"The lavender plumage colour in Japanese quail is associated with a complex mutation in the region of MLPH that is related to differences in growth, feed consumption and body temperature."
chicken,24123731,exclude,"animal: Salmonella in chickens, osmolarity/virulence",Dimethyl adenosine transferase (KsgA) deficiency in Salmonella enterica Serovar Enteritidis confers susceptibility to high osmolarity and virulence attenuation in chickens.
chicken,24973664,exclude,"animal: chicken hatchlings, preferred ambient temperature",Chicken hatchlings prefer ambient temperatures lower than their thermoneutral zone.
chicken,26072164,exclude,"animal: chickens, FNDC5/irisin cold exposure","Characterization of fibronectin type III domain-containing protein 5 (FNDC5) gene in chickens: Cloning, tissue expression, and regulation of its expression in the muscle by fasting and cold exposure."
chicken,27587725,exclude,livestock-heat: broiler embryo thermal manipulation,"Thermal manipulation during late embryogenesis: Effect on body weight and temperature, thyroid hormones, and differential white blood cell counts in broiler chickens."
chicken,28943447,exclude,name-only: Syzygium anti-allergic extract (chicken incidental),Anti-allergic effects of the ethanol extract of Syzygium formosum (Wall.) Masam leaves and its immunoregulatory mechanisms.
chicken,31217129,exclude,animal: subdermal photoplethysmography/thermometry device in animals,"An Injectable System for Subcutaneous Photoplethysmography, Accelerometry, and Thermometry in Animals."
chicken,32331280,exclude,livestock-heat: broiler post-hatch cold stress HSF3/Hsp70,HSF3 and Hsp70 Expression during Post-Hatch Cold Stress in Broiler Chickens Subjected to Embryonic Thermal Manipulation.
chicken,33383690,exclude,livestock-heat: heat-stress genetics in chickens review,Emerging Genetic Tools to Investigate Molecular Pathways Related to Heat Stress in Chickens: A Review.
chicken,34475725,exclude,"livestock-heat: broilers under heat stress, agarwood extract",Effect of agarwood leaf extract on production performance of broilers experiencing heat stress.
chicken,35910562,exclude,"animal: birds, cutaneous TRPV4 warmth-defense",Cutaneous TRPV4 Channels Activate Warmth-Defense Responses in Young and Adult Birds.
chicken,37276745,exclude,"animal: chicken thyroid hormone, endothermy development",Thyroid hormone manipulation influences development of endothermy and hatching in white leghorn chickens (Gallus gallus).
chicken,39417774,exclude,"animal: laying hens, cold stress UCP/ANT",Tissue oxidative stress and expression of chicken UCP and ANT mRNA in laying hens exposed to acute cold stress.
chicken,39877350,exclude,"livestock-heat: chicken intestinal heat damage, Physalis extract",Physalis Calyx seu Fructus relieves chicken intestinal damage to heat via improving the antioxidant ability.
chicken,41133095,exclude,name-only: gut-microbiota fat-deposition review (chicken incidental),Recent advances in gut microbiota-mediated regulation of fat deposition and metabolic disorders.
chicken,42485672,exclude,"animal: chicken embryonic fibroblasts, thermal stress virus",Thermal stress enhances AnHV-1 replication in chicken embryonic fibroblasts and embryos by HSP90B1 induction and metabolic alterations.
chicken,6791150,exclude,animal: chicken respiratory gas exchange,Respiratory gas exchange and control in the chicken.
chicken,7435601,exclude,"animal: chicken temperature maintenance, dopamine/6-OHDA",Effects of 6-hydroxydopamine and pimozide on temperature maintenance by the chicken.
chicken,9801153,exclude,"animal: avian testicular cells, heat-shock",Marked differences between avian and mammalian testicular cells in the heat shock induction and polyadenylation of Hsp70 and ubiquitin transcripts.
salt,42036509,exclude,"not-ingestion: plantar hot salt PACKS (external), intraoperative hypothermia",Effect of a combined thermal protection strategy with plantar hot salt packs on preventing intraoperative hypothermia during knee arthroscopy: a randomized controlled trial.
salt,41460707,exclude,"name-only: dextran sodium sulfate IBD model (chemical, not dietary salt)",Modification of the dextran sodium sulfate model to identify agents that induce or exacerbate inflammatory bowel disease.
salt,40926793,exclude,"no-thermal: golfer heat-exhaustion case-control, salt not the ingested exposure",Associated factors for exertional heat exhaustion-related symptoms among amateur golfers in Japan: A retrospective case-control study.
salt,36896681,exclude,"no-thermal: eccrine sweat-gland density evolution, no salt ingestion",Variation in human functional eccrine gland density and its implications for the evolution of human sweating.
salt,36451714,exclude,"no-thermal: skin sodium & blood-pressure review, outcome BP",Skin Sodium and Blood Pressure Regulation.
salt,35669471,exclude,"no-thermal: cold-pressor renal microcirculation, salt not ingested",Contrast-Enhanced Ultrasonography Enables the Detection of a Cold Pressor Test-Induced Increase in Renal Microcirculation in Healthy Participants.
salt,35057434,include,human RCT: increased salt intake decreases diet-induced thermogenesis in volunteers,Increased Salt Intake Decreases Diet-Induced Thermogenesis in Healthy Volunteers: A Randomized Placebo-Controlled Study.
salt,31413064,exclude,"name-only: marathon AKI & thermoregulation, salt not the intervention",The Role of Volume Regulation and Thermoregulation in AKI during Marathon Running.
salt,30030465,exclude,"name-only: 'salt-inducible kinase' (enzyme), BAT thermogenesis, not dietary salt",Sympathetic inputs regulate adaptive thermogenesis in brown adipose tissue through cAMP-Salt inducible kinase axis.
salt,26317057,exclude,animal/invitro: pig preadipocyte incubation temperature,The proliferation and differentiation of primary pig preadipocytes is suppressed when cultures are incubated at 37°Celsius compared to euthermic conditions in pigs.
salt,25729305,include,"human: oral sodium supplementation, thermoregulation in endurance athletes [constituent]","Effects of oral sodium supplementation on indices of thermoregulation in trained, endurance athletes."
salt,25158789,exclude,"not-ingestion: hypertonic saline infusion (IV), not oral salt",Osmolality and respiratory regulation in humans: respiratory compensation for hyperchloremic metabolic acidosis is absent after infusion of hypertonic saline in healthy volunteers.
salt,24136220,exclude,"animal: rats, IL-1beta effort motivation (salt incidental)",Effort-related motivational effects of the pro-inflammatory cytokine interleukin 1-beta: studies with the concurrent fixed ratio 5/ chow feeding choice task.
salt,23253191,include,"human RCT: sodium+water ingestion, cardiovascular function during heat [constituent]",Ingestion of sodium plus water improves cardiovascular function and performance during dehydrating cycling in the heat.
salt,21490606,include,"human: acute salt ingestion, core (rectal) temperature in healthy men",Effect of acute salt ingestion upon core temperature in healthy men.
salt,20303218,exclude,"name-only: obesity/hypothalamus hypothesis paper, no salt-ingestion thermal outcome","To be, or not to be obese - that's the challenge: a hypothesis on the cortical inhibition of the hypothalamus and its therapeutical consequences."
salt,16055158,exclude,name-only: calcium-potassium 'salt' of hydroxycitric acid (chemical form),Bioefficacy of a novel calcium-potassium salt of (-)-hydroxycitric acid.
salt,12108312,exclude,name-only: quinine dosing in 'mg salt' (drug salt form),[Treatment of cerebral malaria in African children by intravenous quinine: comparison of a loading dose regimen to a regimen without a loading dose].
salt,10679499,exclude,"animal: rats, stress-response genetics",Contribution of autosomal loci and the Y chromosome to the stress response in rats.
salt,7643821,exclude,name-only: ketoprofen lysine 'salt' suppositories (drug salt form),[Effects of various dosage of ketoprofen salt suppositories in acute inflammatory disease in infants (3-36 month old) and children (3-13 year old)].
salt,8505832,exclude,"not-ingestion: IV sodic salt of dicarboxylic acid infusion, not dietary salt",Kinetics and thermogenesis of medium-chain monocarboxylic and dicarboxylic acids in man: sebacate and medium-chain triglycerides.
salt,3349990,exclude,"name-only: forced water intake & thermoregulation, water not salt",Improved thermoregulation caused by forced water intake in human desert dwellers.
salt,6862696,exclude,"name-only: lithium carbonate & circadian rhythm, no dietary salt","Period lengthening of human circadian rhythms by lithium carbonate, a prophylactic for depressive disorders."
salt,10529491,exclude,"name-only: autonomic thermoregulation review, no salt ingestion",Thermoregulation as a switchboard of autonomic nervous and endocrine control.
salt,11824399,exclude,animal: spiny mouse non-shivering thermogenesis vs salinity,Comparative non-shivering thermogenesis in adjacent populations of the common spiny mouse (Acomys cahirinus) from opposite slopes: the effects of increasing salinity.
salt,14736778,exclude,invitro: ciprofloxacin/vancomycin precipitation in vitreous,An in vitro study on the compatibility and precipitation of a combination of ciprofloxacin and vancomycin in human vitreous.
salt,17385431,exclude,"animal: hypothermic rats, EDTA disodium salt",[Mechanisms of suppression of physiological function in hypothermia and a way of their restoration without body warming].
salt,19712477,exclude,name-only: allometric metabolism/evolution review,The terrestrial evolution of metabolism and life - by the numbers.
salt,2148191,exclude,no-thermal: hypertension vascular-risk management review,Management of vascular risk factors in the hypertensive patient.
salt,23931727,exclude,invitro: pNIPAM lipogel drug release material,Controlled drug loading and release of a stimuli-responsive lipogel consisting of poly(N-isopropylacrylamide) particles and lipids.
salt,25434233,exclude,"animal: rats resuscitation, EDTA disodium salt",[Resuscitation of vital activity in intensively cooled animals by physiological methods without rewarming].
salt,28368063,exclude,invitro: injectable microgel drug-release nanocomposite,Dual-stimuli responsive injectable microgel/solid drug nanoparticle nanocomposites for release of poorly soluble drugs.
salt,3013361,exclude,"animal: rats, choline analog chloride salt behaviour","Effects of chronic dietary administration of the cholinergic false precursor N-amino-N,N-dimethylaminoethanol on behavior and cholinergic parameters in rats."
salt,32320392,exclude,invitro: PER2 protein thermal-stability (DLS/CD),Thermal stability analyses of human PERIOD-2 C-terminal domain using dynamic light scattering and circular dichroism.
salt,35739571,exclude,"animal: mice gastric-bypass microbiota, thermogenic adipose",Functional changes of the gastric bypass microbiota reactivate thermogenic adipose tissue and systemic glucose control via intestinal FXR-TGR5 crosstalk in diet-induced obesity.
salt,380780,exclude,"animal: cat, prostacyclin sodium salt into cerebral ventricle",Hyperthermic effect of prostacyclin injected into the third cerebral ventricle of the cat.
salt,40286097,exclude,name-only: polyurethane hydrated-salt phase-change materials,Preparation and Properties of Low-Exothermic Polyurethanes Doped with Modified Hydrated Salt Phase Change Materials.
salt,6137492,exclude,invitro: cryopreserved human thyroid-cell bioassay,Functionality of thyroid-stimulating antibodies assessed by cryopreserved human thyroid cell bioassay.
